crop_type,soil_type,seed_type,irrigation,farm_size,rainfall,temperature,yield
Mahindi,Tifutifu,Hybrid,0,1.5,700,23,1800
Maharage,Mfinyanzi,Local,1,1.0,600,22,1000
Mpunga,Kichanga,Hybrid,1,2.0,850,25,2300
Mahindi,Kichanga,Local,0,1.2,650,24,1600
Maharage,Tifutifu,Hybrid,0,0.8,580,21,1100
Mpunga,Mfinyanzi,Local,1,1.8,900,26,2100
Mahindi,Tifutifu,Hybrid,1,2.0,750,23,1900
Maharage,Mfinyanzi,Hybrid,0,1.3,610,22,1150
Mpunga,Kichanga,Hybrid,1,2.5,870,25,2400
Mahindi,Mfinyanzi,Local,0,1.0,690,24,1500
Maharage,Tifutifu,Local,1,0.6,560,22,950
Mpunga,Tifutifu,Hybrid,1,3.0,880,26,2500
Mahindi,Kichanga,Hybrid,0,1.8,710,23,1750
Maharage,Kichanga,Local,0,1.1,600,21,980
Mpunga,Mfinyanzi,Hybrid,1,2.2,890,25,2350
Mahindi,Tifutifu,Local,0,1.4,670,24,1550
Maharage,Mfinyanzi,Hybrid,1,0.9,620,22,1080
Mpunga,Tifutifu,Local,1,2.8,860,26,2200
Mahindi,Mfinyanzi,Hybrid,1,2.0,740,23,1850
Maharage,Kichanga,Hybrid,1,1.0,590,21,1020
